id,nazev,cena_kc,lokalita,lat,lon,plocha_m2,zdroj,skola_m,park_m,mhd_m,lekarna_m,supermarket_m
2394112844,Pronájem  pokoje 20 m²,12500,"Bítovská, Praha 4 - Michle",50.046078,14.452724,,sreality,506.8,549.8,229.5,331.9,308.3
3700577100,Pronájem bytu 2+kk 85 m²,33900,"Šítkova, Praha 1 - Nové Město",50.078659,14.414408,,sreality,106.9,112.0,137.5,345.1,39.3
1788695372,Pronájem bytu 2+kk 48 m²,21000,"Spálená, Brno - Trnitá",49.190018,16.616076,,sreality,316.5,874.7,106.0,290.5,28.4
4021502796,Pronájem bytu 2+1 50 m²,11500,"Kozákova, Česká Lípa",50.680603,14.532155,,sreality,649.9,948.0,71.2,264.4,257.7
1018381132,Pronájem  pokoje 20 m²,12000,"Bítovská, Praha 4 - Michle",50.046078,14.452724,,sreality,506.8,549.8,229.5,331.9,308.3
655246156,Pronájem bytu 2+1 54 m²,22590,"Kvapilova, Brno - Žabovřesky",49.220173,16.578192,,sreality,315.9,36.3,93.6,285.2,241.1
1479934796,Pronájem bytu 2+kk 58 m²,34100,"U Pergamenky, Praha 7 - Holešovice",50.108158,14.451866,,sreality,145.8,456.0,133.8,382.7,180.4
1459450700,Pronájem bytu 2+1 71 m²,35500,"Újezd, Praha 1 - Malá Strana",50.08218,14.404481,,sreality,766.3,273.6,56.3,682.3,130.0
2934924108,Pronájem bytu 2+kk 47 m²,33800,"Písecká, Praha 3 - Vinohrady",50.076893,14.464929,,sreality,61.1,593.8,174.4,147.5,55.1
2227200844,Pronájem bytu 3+1 76 m² (Jednopodlažní),55900,"Chodská, Praha 2 - Vinohrady",50.074459,14.445875,,sreality,173.9,642.6,155.6,354.7,126.0
3964687180,Pronájem bytu 1+kk 27 m²,22200,"Perucká, Praha 2 - Vinohrady",50.068497,14.438316,,sreality,311.0,423.1,187.1,522.9,183.5
564872012,Pronájem bytu 1+kk 37 m²,21500,"U Plynárny, Praha - Michle",50.056347,14.463106,,sreality,1326.4,397.3,112.0,548.0,665.0
2897429324,Pronájem bytu 1+1 36 m²,9500,"P. Voka, Veselí nad Lužnicí - Veselí nad Lužnicí I",49.179852,14.694343,,sreality,776.0,715.4,70.8,888.5,781.1
1857635148,Pronájem bytu 1+kk 27 m²,16900,"Rybářská, Brno - Brno-střed",49.187634,16.590069,,sreality,283.2,206.5,132.2,404.6,303.6
498287436,Pronájem bytu 2+kk 43 m²,18000,"Slovinská, Praha 10 - Vršovice",50.071606,14.459456,,sreality,380.4,329.5,113.1,349.2,13.7
1853625164,Pronájem bytu 2+kk 38 m²,21990,"Bohunická, Brno - Horní Heršpice",49.163715,16.595676,,sreality,1015.7,983.5,19.6,849.5,867.1
4104352588,Pronájem bytu 3+1 67 m²,17490,"Loosova, Brno - Lesná",49.232349,16.617796,,sreality,457.1,176.4,116.8,543.6,49.2
2377335628,Pronájem bytu 2+kk 45 m² (Jednopodlažní),20000,"Moskalykova, Brno - Sadová",49.231304,16.606701,,sreality,219.8,198.4,81.8,983.3,191.1
2721977164,Pronájem bytu 1+kk 30 m²,21900,"Poděbradská, Praha 9 - Hloubětín",50.104218,14.525045,,sreality,831.6,697.9,52.6,885.3,341.6
1077809996,Pronájem bytu 1+kk 34 m²,20500,"Poděbradská, Praha 9 - Hloubětín",50.104218,14.525045,,sreality,831.6,697.9,52.6,885.3,341.6
2419987276,Pronájem bytu 1+kk 28 m²,19500,"Poděbradská, Praha 9 - Hloubětín",50.104218,14.525045,,sreality,831.6,697.9,52.6,885.3,341.6
3334836812,Pronájem bytu 2+kk 61 m²,21500,"Františka Kováříka, Plzeň - Skvrňany",49.746929,13.318282,,sreality,2247.3,242.1,216.2,422.7,884.0
1396953676,Pronájem bytu 2+kk 58 m²,28500,"Odkolkova, Praha 9 - Vysočany",50.113068,14.503985,,sreality,871.5,521.3,85.5,365.1,243.5
1976324940,Pronájem bytu 1+kk 36 m²,21500,"Odkolkova, Praha 9 - Vysočany",50.113068,14.503985,,sreality,871.5,521.3,85.5,365.1,243.5
1551852364,Pronájem bytu 2+kk 49 m²,27900,"Odkolkova, Praha 9 - Vysočany",50.113068,14.503985,,sreality,871.5,521.3,85.5,365.1,243.5
1829393228,Pronájem bytu 2+kk 45 m²,27500,"Odkolkova, Praha 9 - Vysočany",50.113068,14.503985,,sreality,871.5,521.3,85.5,365.1,243.5
1589187404,Pronájem bytu 1+kk 36 m²,22500,"Odkolkova, Praha 9 - Vysočany",50.113068,14.503985,,sreality,871.5,521.3,85.5,365.1,243.5
3331093068,Pronájem bytu 3+kk 85 m²,37900,"Odkolkova, Praha 9 - Vysočany",50.113068,14.503985,,sreality,871.5,521.3,85.5,365.1,243.5
3885331276,Pronájem bytu 3+kk 83 m²,25990,"Dusíkova, Brno - Lesná",49.235497,16.626806,,sreality,361.3,633.2,110.9,213.9,501.4
